Hostname,Crid,Asset,Price,Role,Product,Owner
cshdp24,72793,AS-09537,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp23,72789,AS-09531,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp22,72785,AS-09530,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp21,72781,AS-09525,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp20,72777,AS-09539,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp2,72705,AS-09608,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp19,72773,AS-09533,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp18,72769,AS-10032,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp17,72765,AS-09535,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp16,72761,AS-10028,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp15,72757,AS-09610,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp14,72753,AS-09538,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp13,72749,AS-10195,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp12,72745,AS-09536,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp11,72741,AS-09526,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp100,79866,AS-10097,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp10,72737,AS-09528,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp1,72701,AS-10031,$280.00,HadoopDataNode,Hadoop,HadoopTeam
csdb06,78814,AS-10389,$280.06,OracleDB,Database,DBTeam
csdb05,78810,AS-10378,$280.06,OracleDB,Database,DBTeam
csdb04,78735,DS-00446,$279.99,OracleDB,Database,DBTeam
csdb03,78730,DS-00450,$279.99,OracleDB,Database,DBTeam
csdb02,78725,AS-08592,$279.99,OracleDB,Database,DBTeam
csdb01,78720,DS-00444,$279.99,OracleDB,Database,DBTeam
app99,45159,AS-05369,$185.00,Elastic Search,Consumer,Consumer
app98,45150,AS-04966,$185.00,Stylemob,Video,Video
app97,45147,AS-04489,$185.00,Rich_Media,Video,Video
app96,45153,AS-04417,$185.00,Rich_Media,Video,Video
app95,45162,AS-04289,$185.00,Studio Dev,Studio,Studio
app94,45130,AS-05641,$384.99,VARNISH,GlamTV,GlamTV
app93,45124,AS-04537,$384.99,VARNISH,GlamTV,GlamTV
app92,45127,AS-05164,$384.99,Rich_Media,Video,Video
app91,45121,AS-05823,$384.99,Rich_Media,Video,Video
app90,45118,AS-04455,$384.99,Onboarding,NotSure,Notsure
app89,45112,AS-04521,$384.99,Mysql,NotSure,Notsure
app88,45115,AS-05436,$384.99,HydraWorker,Hydra,Hydra
app87,45103,AS-05433,$384.99,HydraWorker,Hydra,Hydra
app86,45109,AS-05208,$384.99,HydraWorker,Hydra,Hydra
app85,45106,AS-04984,$384.99,HydraWorker,Hydra,Hydra
app84,45100,AS-3576,$384.99,FBT,FBT,FBT
app83,45097,AS-03693,$384.99,FBT,FBT,FBT
app82,45091,AS-05661,$384.99,AnsibleMaster,Ops,Techops
app81,45088,AS-04019,$384.99,HydraWorker,Hydra,Hydra
app80,45094,AS-04936,$384.99,HydraWorker,Hydra,Hydra
app319,79946,AS-07280,$210.00,ETL,Hadoop,Hadoop
app318,79943,AS-07460,$210.00,ETL,Hadoop,Hadoop
app317,79940,AS-07250,$210.00,Search,Studio,Studio
app316,79937,AS-07407,$210.00,ETL,Hadoop,Hadoop
app315,79934,AS-07382,$210.00,ETL,Hadoop,Hadoop
app314,79931,AS-07377,$210.00,ETL,Hadoop,Hadoop
app313,79928,AS-07374,$210.00,ETL,Hadoop,Hadoop
app312,79925,AS-07282,$210.00,ETL,Hadoop,Hadoop
app311,79922,AS-07371,$210.00,ETL,Hadoop,Hadoop
app310,79919,AS-07999,$210.00,Cron,Hadoop,Hadoop
app309,79523,AS-07773,$210.00,Reviewboard/Hydra,Hydra,Hydra
app308,79520,as-07408,$210.00,Hydra-HTTP,Hydra,Hydra
app307,79517,as-08581,$210.00,Rich_Media,Rich_Media,Rich_Media
app306,79514,as-07996,$210.00,Rich_Media,Rich_Media,Rich_Media
app305,79511,as-10193,$210.00,Studio,Studio,Studio
app304,79508,as-10158,$210.00,Studio,Studio,Studio
app303,79505,as-10383,$210.00,Studio,Studio,Studio
app302,79502,as-08583,$210.00,Studio,Studio,Studio
app301,79499,AS-10114,$210.00,HydraWorker,Hydra,Hydra
app300,79496,AS-10408,$210.00,Elastic Search,Consumer,Consumer
app299,79448,as-08092,$210.00,AD_SERVER,AD_SERVER,Techops
app298,79445,as-08090,$210.00,AD_SERVER,AD_SERVER,Techops
app297,79442,AS-08080,$210.00,AD_SERVER,AD_SERVER,Techops
app296,79439,as-08002,$210.00,AD_SERVER,AD_SERVER,Techops
app295,79436,as-07998,$210.00,AD_SERVER,AD_SERVER,Techops
app294,79433,AS-07997,$210.00,AD_SERVER,AD_SERVER,Techops
app293,79430,as-07995,$210.00,AD_SERVER,AD_SERVER,Techops
app292,79427,as-07992,$210.00,AD_SERVER,AD_SERVER,Techops
app291,79424,AS-07861,$210.00,AD_SERVER,AD_SERVER,Techops
app290,79421,as-07751,$210.00,AD_SERVER,AD_SERVER,Techops
app289,79409,AS-07941,$210.00,AD_SERVER,AD_SERVER,Techops
app288,79412,AS-07860,$210.00,AD_SERVER,AD_SERVER,Techops
app287,79415,AS-07750,$210.00,AD_SERVER,AD_SERVER,Techops
app286,79418,AS-07725,$210.00,AD_SERVER,AD_SERVER,Techops
app285,79406,AS-07723,$210.00,AD_SERVER,AD_SERVER,Techops
app284,79046,AS-10384,$210.00,Hydra,Hydra,Hydra
app283,79049,AS-10379,$210.00,NTS,NTS,NTS
app282,79052,AS-10386,$210.00,NTS,NTS,NTS
app281,79055,AS-10376,$210.00,Studio,Studio,Studio
app280,79043,AS-10387,$210.00,Studio,Studio,Studio
app279,79040,AS-10385,$210.00,Hydra DB,Hydra,Hydra
app278,79037,as-10380,$210.00,Hydra DB,Hydra,Hydra
app277,79034,as-10390,$210.00,Hydra DB,Hydra,Hydra
app276,79031,as-10388,$210.00,Log Processor,Database,DBteam
app275,79028,AS-10382,$210.00,Free,Free,Techops
app274,78332,AS-08690,$359.99,Tableau,Tableau,Tableau
app273,78329,AS-07977,$359.99,Sortdb,Adserver,Techops
app272,78326,AS-07037,$359.99,BT Memcached,Adserver,Techops
app271,78323,DS-00085,$359.99,BT projects files,FIND,Emmanuel 
app270,78320,AS-07579,$359.99,Studio,Studio,Studio
app269,78317,AS-07722,$359.99,Studio,Studio,Studio
app268,78314,AS-08091,$359.99,Studio,Studio,Studio
app267,78311,AS-07577,$359.99,Studio,Studio,Studio
app266,78308,AS-08587,$359.99,Studio,Studio,Studio
app265,78305,DS-00098,$359.99,Studio,Studio,Studio
app264,70040,AS-09304,$210.00,Hadoop-Dev,Hadoop,Hadoop
app263,70037,AS-09305,$210.00,zookeeper,Hadoop,Hadoop
app262,70034,AS-09303,$210.00,zookeeper,Hadoop,Hadoop
app261,70031,AS-09302,$210.00,zookeeper,Hadoop,Hadoop
